date,hour,price_uah_mwh,zone
2026-09-04,24,3950.0,OES
2026-09-05,1,4120.0,OES
2026-09-05,2,2997.0,OES
2026-09-05,3,2007.0,OES
2026-09-05,4,2000.0,OES
2026-09-05,5,2000.0,OES
2026-09-05,6,2888.0,OES
2026-09-05,7,5470.0,OES
2026-09-05,8,6300.0,OES
2026-09-05,9,4000.0,OES
2026-09-05,10,988.0,OES
2026-09-05,11,119.0,OES
2026-09-05,12,10.0,OES
2026-09-05,13,10.0,OES
2026-09-05,14,10.0,OES
2026-09-05,15,10.0,OES
2026-09-05,16,10.0,OES
2026-09-05,17,301.0,OES
2026-09-05,18,4000.0,OES
2026-09-05,19,5500.0,OES
2026-09-05,20,5509.1,OES
2026-09-05,21,8000.0,OES
2026-09-05,22,7500.0,OES
2026-09-05,23,6575.0,OES
2026-09-05,24,6124.0,OES
2026-09-06,1,6900.0,OES
2026-09-06,2,5339.82,OES
2026-09-06,3,3500.0,OES
2026-09-06,4,4600.0,OES
2026-09-06,5,4500.0,OES
2026-09-06,6,4600.0,OES
2026-09-06,7,5470.0,OES
2026-09-06,8,3985.0,OES
2026-09-06,9,2950.0,OES
2026-09-06,10,20.0,OES
2026-09-06,11,10.0,OES
2026-09-06,12,10.0,OES
2026-09-06,13,10.0,OES
2026-09-06,14,10.0,OES
2026-09-06,15,10.0,OES
2026-09-06,16,10.0,OES
2026-09-06,17,10.0,OES
2026-09-06,18,253.0,OES
2026-09-06,19,4709.0,OES
2026-09-06,20,7000.0,OES
2026-09-06,21,10830.0,OES
2026-09-06,22,8840.0,OES
2026-09-06,23,6300.0,OES
2026-09-06,24,5000.0,OES
2026-09-07,1,7000.0,OES
2026-09-07,2,5000.0,OES
2026-09-07,3,3500.0,OES
2026-09-07,4,3700.0,OES
2026-09-07,5,4000.0,OES
2026-09-07,6,4500.0,OES
2026-09-07,7,7000.0,OES
2026-09-07,8,10500.0,OES
2026-09-07,9,6000.0,OES
2026-09-07,10,2985.0,OES
2026-09-07,11,490.0,OES
2026-09-07,12,10.0,OES
2026-09-07,13,10.0,OES
2026-09-07,14,10.0,OES
2026-09-07,15,10.0,OES
2026-09-07,16,10.0,OES
2026-09-07,17,1485.0,OES
2026-09-07,18,6250.0,OES
2026-09-07,19,11116.0,OES
2026-09-07,20,13895.0,OES
2026-09-07,21,15000.0,OES
2026-09-07,22,14974.78,OES
2026-09-07,23,12500.0,OES
2026-09-07,24,8840.0,OES
2026-09-08,1,14977.77,OES
2026-09-08,2,6350.0,OES
2026-09-08,3,5486.0,OES
2026-09-08,4,5500.0,OES
2026-09-08,5,5500.0,OES
2026-09-08,6,6300.0,OES
2026-09-08,7,10982.0,OES
2026-09-08,8,12082.0,OES
2026-09-08,9,6988.0,OES
2026-09-08,10,4980.0,OES
2026-09-08,11,955.0,OES
2026-09-08,12,10.0,OES
2026-09-08,13,25.0,OES
2026-09-08,14,100.0,OES
2026-09-08,15,10.0,OES
2026-09-08,16,25.0,OES
2026-09-08,17,2000.0,OES
2026-09-08,18,6900.0,OES
2026-09-08,19,12000.0,OES
2026-09-08,20,14231.0,OES
2026-09-08,21,15000.0,OES
2026-09-08,22,13248.0,OES
2026-09-08,23,12429.26,OES
2026-09-08,24,9800.0,OES
2026-09-09,1,9000.0,OES
2026-09-09,2,7001.0,OES
2026-09-09,3,6575.0,OES
2026-09-09,4,6300.0,OES
2026-09-09,5,6300.0,OES
2026-09-09,6,6900.0,OES
2026-09-09,7,10714.0,OES
2026-09-09,8,11727.93,OES
2026-09-09,9,7000.0,OES
2026-09-09,10,4999.0,OES
2026-09-09,11,1115.0,OES
2026-09-09,12,10.0,OES
2026-09-09,13,25.0,OES
2026-09-09,14,189.0,OES
2026-09-09,15,10.0,OES
2026-09-09,16,25.0,OES
2026-09-09,17,3999.0,OES
2026-09-09,18,7000.0,OES
2026-09-09,19,12031.0,OES
2026-09-09,20,13921.0,OES
2026-09-09,21,14999.0,OES
2026-09-09,22,14386.0,OES
2026-09-09,23,12707.0,OES
2026-09-09,24,12384.0,OES
